"freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"A,TOTAL,REACH,TOTAL,NR,T,ES",360705,371331,304053,280772,305454,342114,414746,532132,643684,750480,467918,528856
"A,TOTAL,REACH,TOTAL,NR,T,EU27_2020",: ,: ,: ,2890780 bep,3155818 ep,4055071 bep,3693495 bep,3751814 bep,3942303 bep,4216138 bep,3268760 bep,3744277
"A,TOTAL,REACH,TOTAL,NR,T,FI",25636,29481,31278,31941,31507,28746,34905,31797,31106,32758,32898,36364
"A,TOTAL,REACH,TOTAL,NR,T,FR",307111 b,319816,327431,338752,340383,364221,377709,369621,387158,385591,283237 e,336398
"A,TOTAL,REACH,TOTAL,NR,T,HR",8846,8534,8959,10378,10638,11706,13985,15553,26029,37726,33414,35912
"A,TOTAL,REACH,TOTAL,NR,T,HU",25519 b,28018,33702,38968,54581,58344,53618,68070,82937,88581,75470,80471
"A,TOTAL,REACH,TOTAL,NR,T,IE",52339,57292 b,61324,65539,73519,80792,85185,78499,97712,85630,74211,80732
"A,TOTAL,REACH,TOTAL,NR,T,IS",3948,4073,4960,6406,5368,5635,8710,12116,11830,9872,8544,8996
"A,TOTAL,REACH,TOTAL,NR,T,IT",458856,385793,350772,307454,277631,280078,300823,343440,332324,332778,247526,318366
"A,TOTAL,REACH,TOTAL,NR,T,LI",591,650,671,696,615,657,607,645,649,727,713,669
"A,TOTAL,REACH,TOTAL,NR,T,LT",5213,15685,19843,22011,24294,22130,20162,20368,28914,40067,43096,44858
"A,TOTAL,REACH,TOTAL,NR,T,LU",16962,20268,20478,21098,22332,23803,22888,24379,24644,26668,22490,25335
"A,TOTAL,REACH,TOTAL,NR,T,LV",4011,10234,13303,8299,10365,9479,8345,9916,10909,11223,8840,12689
"A,TOTAL,REACH,TOTAL,NR,T,ME",5749,6025,5727,5112,5353,4553,4904,6684,8643,10737,6008,: 
"A,TOTAL,REACH,TOTAL,NR,T,MK",1359,1464,1715,2050,1935,1741,2262,2064,2053,2118,2555,1570
"A,TOTAL,REACH,TOTAL,NR,T,MT",4275,5465,8256,10897,14454,16936,17051,21676,26444,28341,13885,18148
"A,TOTAL,REACH,TOTAL,NR,T,NL",126776,130118,124566,129428,145323,166872,189232,189646,194306,215756,182244,214105
"A,TOTAL,REACH,TOTAL,NR,T,NO",69214,70337,69908,68313,66903,60816,61460,53351,47864,48680,36287,53947
"A,TOTAL,REACH,TOTAL,NR,T,PL",155131,157059,217546,220311,222275 p,218147 p,208302 ep,209353 ep,214083 ep,226649 ep,210615 ep,241116
"A,TOTAL,REACH,TOTAL,NR,T,PT",27575,19667,14606,17554,19516,29896 e,29925 e,36639 e,43170,72725,67160,50721
"A,TOTAL,REACH,TOTAL,NR,T,RO",149885,147685,167266,153646,136035,132795 e,137455,177435 e,172578 e,202422 e,145519 e,194642
"A,TOTAL,REACH,TOTAL,NR,T,SE",98801,96467,103059,115845,126966,134240,163005,144489,132602,115805,82518,90631
"A,TOTAL,REACH,TOTAL,NR,T,SI",15416,14083,15022,13871,13846,15420,16623,18808,28455,31319,36110,23624
"A,TOTAL,REACH,TOTAL,NR,T,SK",5272,4829,5419 p,5149 p,5357 p,6997 p,7686 p,7188 p,7253 p,7016 p,6775 p,5733
"A,TOTAL,REACH,TOTAL,NR,T,UK",590950,566044,498040,526046,631991,631452,588993,644209,603953 p,680906,: ,: 
